,EFA US Equity,SPY US Equity,EEM US Equity,DBC US Equity,IYR US Equity,LQD US Equity,SHY US Equity
9/6/2013,61.13,166.04,39.975,26.66,62.76,111.07,84.17
9/9/2013,61.97,167.634,41.035,26.49,64,111.36,84.19
9/10/2013,62.67,168.87,41.345,26.25,63.92,110.87,84.16
9/11/2013,62.89,169.4,41.37,26.29,64.355,111.39,84.2
9/12/2013,62.53,168.95,40.89,26.42,63.945,111.31,84.2
9/13/2013,62.83,169.33,41.155,26.34,64.09,111.38,84.2
9/16/2013,63.32,170.31,41.62,26.01,64.72,111.51,84.26
9/17/2013,63.36,171.07,41.53,25.74,64.67,111.81,84.29
9/18/2013,65.05,173.051,43.275,26.3,66.93,113.45,84.4
9/19/2013,64.74,172.76,43.04,26.2,66.67,112.73,84.37
9/20/2013,64.265,170.72,42.075,25.96,65.515,112.832,84.38
9/23/2013,64.25,169.93,42.225,25.77,65.1,113.5,84.4
9/24/2013,64.15,169.53,41.87,25.76,64.07,113.79,84.41
9/25/2013,64.22,169.04,41.55,25.8,64.29,114.145,84.44
9/26/2013,64.49,169.69,41.72,26,64.68,113.86,84.4
9/27/2013,64.26,168.909,41.235,25.87,64.44,113.77,84.45
9/30/2013,63.801,168.01,40.755,25.76,63.79,113.52,84.47
10/1/2013,64.14,169.34,41.57,25.59,64.76,113.04,84.43
10/2/2013,64.12,169.18,41.725,25.84,64.8,113.38,84.44
10/3/2013,63.7,167.62,41.57,25.8,63.8,113.44,84.44
10/4/2013,63.85,168.89,42.11,25.88,63.57,113.33,84.41
10/7/2013,63.19,167.43,41.75,26.06,63.85,113.53,84.41
10/8/2013,62.7,165.48,41.35,26.15,63.12,113.51,84.34
10/9/2013,62.97,165.6,41.655,25.96,63.1,113.27,84.37
10/10/2013,64.1,169.17,42.64,26.29,64.61,113.43,84.365
10/11/2013,64.44,170.26,42.825,26.15,65.23,113.58,84.37
10/14/2013,64.66,170.94,43.08,26.14,65.21,113.23,84.34
10/15/2013,64.35,169.7,42.66,26.05,65,113.25,84.37
10/16/2013,64.835,172.07,42.995,26.25,66.181,114.09,84.4
10/17/2013,65.69,173.22,43.265,26.11,67.2,114.93,84.43
10/18/2013,66.08,174.388,43.309,26.26,67.071,115.08,84.43
10/21/2013,66.18,174.4,43.24,26.2,66.72,114.78,84.43
10/22/2013,66.84,175.41,43.655,26.17,67.43,115.48,84.495
10/23/2013,66.19,174.57,42.64,25.77,67.57,115.45,84.47
10/24/2013,66.65,175.15,42.55,25.775,67.515,115.33,84.46
10/25/2013,66.455,175.95,42.745,25.86,68.18,115.32,84.48
10/28/2013,66.35,176.23,43,25.96,67.71,115.43,84.5
10/29/2013,66.49,177.17,43.135,25.89,67.14,115.59,84.5
10/30/2013,66.25,176.29,42.9,25.97,66.65,115.36,84.5
10/31/2013,65.88,175.79,42.455,25.75,66.17,115.2,84.51
11/1/2013,65.56,176.21,42.475,25.43,66.589,114.51,84.46
11/4/2013,65.88,176.83,42.74,25.32,66.68,114.54,84.48
11/5/2013,65.305,176.27,41.88,25.25,65.67,114.05,84.48
11/6/2013,65.88,177.17,42.01,25.27,65.66,114.18,84.5
11/7/2013,64.84,174.93,41.25,25.09,64.86,114.41,84.52
11/8/2013,65.22,177.29,41.159,25.23,63.99,113.29,84.46
11/11/2013,65.36,177.32,40.95,25.34,63.94,113.1,84.48
11/12/2013,65.14,176.96,40.73,25.17,63.72,113.18,84.46
11/13/2013,65.35,178.38,40.8,25.28,64.17,113.44,84.46
11/14/2013,65.645,179.27,41.455,25.39,64.68,114.06,84.51
11/15/2013,66.179,180.05,42.245,25.35,64.84,114.06,84.51
11/18/2013,66.18,179.42,42.625,25.18,64.39,114.57,84.55
11/19/2013,66.01,179.03,42.37,25.14,63.9,114.17,84.52
11/20/2013,65.55,178.47,41.79,25.16,63.34,113.68,84.53
11/21/2013,65.96,179.91,41.75,25.48,63.68,113.9,84.57
11/22/2013,66.15,180.81,42.05,25.56,63.49,114.3,84.55
11/25/2013,65.95,180.63,41.51,25.53,63.22,114.5,84.55
11/26/2013,65.95,180.68,41.65,25.52,63.04,114.73,84.56
11/27/2013,66.11,181.12,41.92,25.52,63.69,114.75,84.56
11/28/2013,66.11,181.12,41.92,25.52,63.69,114.75,84.56
11/29/2013,66.24,181,42.35,25.51,63.1,114.66,84.57
12/2/2013,65.75,180.53,41.46,25.48,62.77,113.75,84.5
12/3/2013,65.29,179.75,41.32,25.63,62.7,114.04,84.52
12/4/2013,64.94,179.73,41.27,25.68,62.84,113.67,84.5
12/5/2013,64.57,178.94,41.03,25.65,62.91,113.42,84.51
12/6/2013,65.37,180.94,41.94,25.74,63.4,113.66,84.475
12/9/2013,65.3,181.4,42,25.65,63.81,113.83,84.48
12/10/2013,65.19,180.75,42.02,25.73,63.81,114.29,84.51
12/11/2013,64.58,178.72,41.09,25.73,62.43,113.97,84.48
12/12/2013,64.11,178.13,40.85,25.49,62.01,113.78,84.45
12/13/2013,64.07,178.11,40.95,25.39,62.26,114.09,84.47
12/16/2013,64.53,179.216,41.215,25.47,62.33,114.18,84.47
12/17/2013,64.25,178.65,40.86,25.35,62.66,114.52,84.49
12/18/2013,64.7,181.7,41.3,25.4,63.76,114.52,84.49
12/19/2013,64.7,181.49,40.54,25.46,62.98,114.35,84.44
12/20/2013,65.07,181.56,40.48,25.66,63.47,114.88,84.41
12/23/2013,65.74,182.53,40.78,25.66,62.97,114.7,84.4
12/24/2013,65.87,182.93,41.02,25.74,63.08,114.67,84.37
12/25/2013,65.87,182.93,41.02,25.74,63.08,114.67,84.37
12/26/2013,66.23,183.855,40.67,25.78,63.15,114.24,84.34
12/27/2013,66.57,183.845,41.3,25.85,63.23,114.14,84.38
12/30/2013,66.85,183.82,41.48,25.7,63.28,114.48,84.4
12/31/2013,67.095,184.69,41.795,25.66,63.08,114.188,84.38
1/1/2014,67.095,184.69,41.795,25.66,63.08,114.188,84.38
1/2/2014,65.91,182.92,40.19,25.29,62.98,114.41,84.42
1/3/2014,65.98,182.885,40.12,25.13,63.35,114.58,84.39
1/6/2014,65.9,182.36,39.74,25.16,63.61,114.83,84.4
1/7/2014,66.27,183.48,39.91,25.14,63.83,114.74,84.4
1/8/2014,66.25,183.52,39.78,24.9,63.73,114.25,84.32
1/9/2014,66.2,183.64,39.57,24.7,63.7,114.51,84.34
1/10/2014,66.81,184.14,40.27,24.86,64.46,115.13,84.42
1/13/2014,66.23,181.685,39.79,24.85,64.04,115.35,84.44
1/14/2014,66.76,183.67,40.22,24.85,64.44,115.01,84.42
1/15/2014,67.04,184.66,40.21,24.92,64.74,115.04,84.39
1/16/2014,67.01,184.42,39.99,24.88,64.89,115.31,84.41
1/17/2014,66.81,183.635,39.79,24.91,64.68,115.44,84.41
1/20/2014,66.81,183.635,39.79,24.91,64.68,115.44,84.41
1/21/2014,67.13,184.18,39.73,24.97,65.13,115.28,84.4
1/22/2014,67.13,184.3,40.26,25.09,65.3,115,84.36
1/23/2014,66.68,182.79,39.27,25.07,65.27,115.44,84.44
1/24/2014,64.85,178.89,38.24,25.08,64.31,115.36,84.47
1/27/2014,64.55,178.01,38.09,24.91,63.92,115.14,84.46
1/28/2014,65.11,179.07,38.33,25.03,64.57,115.7,84.46
1/29/2014,64.38,177.35,37.78,25.01,64.27,115.93,84.52
1/30/2014,64.71,179.23,38.13,24.91,65.05,115.99,84.51
1/31/2014,63.61,178.18,38.19,24.88,65.25,116.34,84.55
2/3/2014,62.31,174.17,37.11,24.88,64.3,116.74,84.55
2/4/2014,63.03,175.385,37.86,25.07,64.97,116.18,84.56
